# DL/T 645-2007 Point Table File
# Format: Name,Address,DataID,Scale,Offset,Unit,Precision,Interval,DeadbandValue,DeadbandType
# Address: 12-digit meter number (BCD), e.g. "123456789012"
# DataID: Data identifier (2007: 8-digit like "00010000", 1997: 4-digit like "9010")
#
# Common Data Identifiers (DL/T 645-2007):
# 00010000 - Current positive active total energy
# 00010001 - Current positive active rate 1 energy
# 00010002 - Current positive active rate 2 energy
# 00010003 - Current positive active rate 3 energy
# 00010004 - Current positive active rate 4 energy
# 00020000 - Current reverse active total energy
# 00030000 - Current positive reactive total energy
# 00040000 - Current reverse reactive total energy
# 00090100 - Current voltage (instantaneous)
# 00090200 - Current current (instantaneous)
# 00090300 - Current active power (instantaneous)
# 00090600 - Current power factor (instantaneous)
#
# Scale: Scale factor (0.01 means divide by 100, raw 12345 -> 123.45)
# Offset: Offset added to scaled value
# Unit: Unit like kWh, V, A, kW
# Precision: Decimal places
# Interval: Collection interval (seconds, 0 uses default)
# DeadbandValue: Deadband threshold (0 means disabled)
# DeadbandType: absolute or percent
Name,Address,DataID,Scale,Offset,Unit,Precision,Interval,DeadbandValue,DeadbandType
TAG116,012005011800,000A0500,0.01,0,kVAh,2,0,0,absolute
TAG117,012005011800,000A0600,0.01,0,kVAh,2,0,0,absolute
TAG118,012005011800,000A0700,0.01,0,kVAh,2,0,0,absolute
TAG119,012005011800,000A0800,0.01,0,kVAh,2,0,0,absolute
TAG120,012005011800,000A0900,0.01,0,kVAh,2,0,0,absolute
TAG121,012005011800,000A0A00,0.01,0,kVAh,2,0,0,absolute
TAG122,012005011800,00800000,0.01,0,kWh,2,0,0,absolute
TAG123,012005011800,00810000,0.01,0,kWh,2,0,0,absolute
TAG124,012005011800,00820000,0.01,0,kWh,2,0,0,absolute
TAG125,012005011800,00830000,0.01,0,kWh,2,0,0,absolute
TAG126,012005011800,00840000,0.01,0,kWh,2,0,0,absolute
TAG127,012005011800,00850000,0.01,0,kWh,2,0,0,absolute
TAG128,012005011800,00860000,0.01,0,kWh,2,0,0,absolute
TAG129,012005011800,00150000,0.01,0,kWh,2,0,0,absolute
TAG130,012005011800,00160000,0.01,0,kWh,2,0,0,absolute
TAG131,012005011800,00170000,0.01,0,kvarh,2,0,0,absolute
TAG132,012005011800,00180000,0.01,0,kvarh,2,0,0,absolute
TAG133,012005011800,00190000,0.01,0,kvarh,2,0,0,absolute
TAG134,012005011800,001A0000,0.01,0,kvarh,2,0,0,absolute
TAG135,012005011800,001B0000,0.01,0,kvarh,2,0,0,absolute
TAG136,012005011800,001C0000,0.01,0,kvarh,2,0,0,absolute
TAG137,012005011800,001D0000,0.01,0,kVAh,2,0,0,absolute
TAG138,012005011800,001E0000,0.01,0,kVAh,2,0,0,absolute
TAG139,012005011800,00940000,0.01,0,kWh,2,0,0,absolute
TAG140,012005011800,00950000,0.01,0,kWh,2,0,0,absolute
TAG141,012005011800,00960000,0.01,0,kWh,2,0,0,absolute
TAG142,012005011800,00970000,0.01,0,kWh,2,0,0,absolute
TAG143,012005011800,00980000,0.01,0,kWh,2,0,0,absolute
TAG144,012005011800,00990000,0.01,0,kWh,2,0,0,absolute
TAG145,012005011800,009A0000,0.01,0,kWh,2,0,0,absolute
TAG146,012005011800,00290000,0.01,0,kWh,2,0,0,absolute
TAG147,012005011800,002A0000,0.01,0,kWh,2,0,0,absolute
TAG148,012005011800,002B0000,0.01,0,kvarh,2,0,0,absolute
TAG149,012005011800,002C0000,0.01,0,kvarh,2,0,0,absolute
TAG150,012005011800,002D0000,0.01,0,kvarh,2,0,0,absolute
TAG151,012005011800,002E0000,0.01,0,kvarh,2,0,0,absolute
TAG152,012005011800,002F0000,0.01,0,kvarh,2,0,0,absolute
TAG153,012005011800,00300000,0.01,0,kvarh,2,0,0,absolute
TAG154,012005011800,00310000,0.01,0,kVAh,2,0,0,absolute
TAG155,012005011800,00320000,0.01,0,kVAh,2,0,0,absolute
TAG156,012005011800,00A80000,0.01,0,kWh,2,0,0,absolute
TAG157,012005011800,00A90000,0.01,0,kWh,2,0,0,absolute
TAG158,012005011800,00AA0000,0.01,0,kWh,2,0,0,absolute
TAG159,012005011800,00AB0000,0.01,0,kWh,2,0,0,absolute
TAG160,012005011800,00AC0000,0.01,0,kWh,2,0,0,absolute
TAG161,012005011800,00AD0000,0.01,0,kWh,2,0,0,absolute
TAG162,012005011800,00AE0000,0.01,0,kWh,2,0,0,absolute
TAG163,012005011800,003D0000,0.01,0,kWh,2,0,0,absolute
TAG164,012005011800,003E0000,0.01,0,kWh,2,0,0,absolute
TAG165,012005011800,003F0000,0.01,0,kvarh,2,0,0,absolute
TAG166,012005011800,00400000,0.01,0,kvarh,2,0,0,absolute
TAG167,012005011800,00410000,0.01,0,kvarh,2,0,0,absolute
TAG168,012005011800,00420000,0.01,0,kvarh,2,0,0,absolute
TAG169,012005011800,00430000,0.01,0,kvarh,2,0,0,absolute
TAG170,012005011800,00440000,0.01,0,kvarh,2,0,0,absolute
TAG171,012005011800,00450000,0.01,0,kVAh,2,0,0,absolute
TAG172,012005011800,00460000,0.01,0,kVAh,2,0,0,absolute
TAG173,012005011800,00BC0000,0.01,0,kWh,2,0,0,absolute
TAG174,012005011800,00BD0000,0.01,0,kWh,2,0,0,absolute
TAG175,012005011800,00BE0000,0.01,0,kWh,2,0,0,absolute
TAG176,012005011800,00BF0000,0.01,0,kWh,2,0,0,absolute
TAG177,012005011800,00C00000,0.01,0,kWh,2,0,0,absolute
TAG178,012005011800,00C10000,0.01,0,kWh,2,0,0,absolute
TAG179,012005011800,00C20000,0.01,0,kWh,2,0,0,absolute
TAG180,012005011800,02010100,0.1,0,V,1,0,0.5,absolute
TAG181,012005011800,02010200,0.1,0,V,1,0,0.5,absolute
TAG182,012005011800,02010300,0.1,0,V,1,0,0.5,absolute
TAG183,012005011800,02020100,0.001,0,A,3,0,0.5,absolute
TAG184,012005011800,02020200,0.001,0,A,3,0,0.5,absolute
TAG185,012005011800,02020300,0.001,0,A,3,0,0.5,absolute
TAG186,012005011800,02030000,0.0001,0,kW,4,0,0.5,absolute
TAG187,012005011800,02030100,0.0001,0,kW,4,0,0.5,absolute
TAG188,012005011800,02030200,0.0001,0,kW,4,0,0.5,absolute
TAG189,012005011800,02030300,0.0001,0,kW,4,0,0.5,absolute
TAG190,012005011800,02040000,0.0001,0,kVar,4,0,0.5,absolute
TAG191,012005011800,02040100,0.0001,0,kVar,4,0,0.5,absolute
TAG192,012005011800,02040200,0.0001,0,kVar,4,0,0.5,absolute
TAG193,012005011800,02040300,0.0001,0,kVar,4,0,0.5,absolute
TAG194,012005011800,02050000,0.0001,0,kVA,4,0,0.5,absolute
TAG195,012005011800,02050100,0.0001,0,kVA,4,0,0.5,absolute
TAG196,012005011800,02050200,0.0001,0,kVA,4,0,0.5,absolute
TAG197,012005011800,02050300,0.0001,0,kVA,4,0,0.5,absolute
TAG198,012005011800,02060000,0.001,0,,3,0,0.1,absolute
TAG199,012005011800,02060100,0.001,0,,3,0,0.1,absolute
TAG200,012005011800,02060200,0.001,0,,3,0,0.1,absolute
TAG201,012005011800,02060300,0.001,0,,3,0,0.1,absolute
