# IEC 60870-5-101 点表配置
# 格式：Name,CA,IOA,TypeID,Scale,Offset,Interval,DeadbandValue,DeadbandType
#
# 单点遥信 (TypeID=1, M_SP_NA_1)：IOA 0x01..0x40 共 64 点，bit-packed
# 测量值归一化 (TypeID=9, M_ME_NA_1)：IOA 0x95..0xF4 共 96 点
# 与 cmd/mocksvr-iec101/main.go 的 buildGI 路径对齐。
Name,CA,IOA,TypeID,Scale,Offset,Interval,DeadbandValue,DeadbandType
station_temp,1,189,9,1,0,0,0,absolute
cabinet_temp,1,190,9,1,0,0,0,absolute
door_status_a,1,191,9,1,0,0,0,absolute
door_status_b,1,192,9,1,0,0,0,absolute
breaker_count,1,193,9,1,0,0,0,absolute
fault_count,1,194,9,1,0,0,0,absolute
prealarm_count,1,195,9,1,0,0,0,absolute
alarm_count,1,196,9,1,0,0,0,absolute
trip_count,1,197,9,1,0,0,0,absolute
auto_reclose_count,1,198,9,1,0,0,0,absolute
manual_close_count,1,199,9,1,0,0,0,absolute
manual_open_count,1,200,9,1,0,0,0,absolute
load_current_max,1,201,9,1,0,0,0,absolute
load_current_avg,1,202,9,1,0,0,0,absolute
load_current_min,1,203,9,1,0,0,0,absolute
reactive_max,1,204,9,1,0,0,0,absolute
reactive_avg,1,205,9,1,0,0,0,absolute
reactive_min,1,206,9,1,0,0,0,absolute
voltage_max,1,207,9,1,0,0,0,absolute
voltage_avg,1,208,9,1,0,0,0,absolute
voltage_min,1,209,9,1,0,0,0,absolute
current_max,1,210,9,1,0,0,0,absolute
current_avg,1,211,9,1,0,0,0,absolute
current_min,1,212,9,1,0,0,0,absolute
active_power_total,1,213,9,1,0,0,0,absolute
reactive_power_total,1,214,9,1,0,0,0,absolute
apparent_power_total,1,215,9,1,0,0,0,absolute
pf_a,1,216,9,1,0,0,0,absolute
pf_b,1,217,9,1,0,0,0,absolute
pf_c,1,218,9,1,0,0,0,absolute
vab,1,219,9,1,0,0,0,absolute
vbc,1,220,9,1,0,0,0,absolute
vca,1,221,9,1,0,0,0,absolute
ia,1,222,9,1,0,0,0,absolute
ib,1,223,9,1,0,0,0,absolute
ic,1,224,9,1,0,0,0,absolute
ian,1,225,9,1,0,0,0,absolute
ibn,1,226,9,1,0,0,0,absolute
icn,1,227,9,1,0,0,0,absolute
active_power_phase_a,1,228,9,1,0,0,0,absolute
active_power_phase_b,1,229,9,1,0,0,0,absolute
active_power_phase_c,1,230,9,1,0,0,0,absolute
reactive_phase_a,1,231,9,1,0,0,0,absolute
reactive_phase_b,1,232,9,1,0,0,0,absolute
reactive_phase_c,1,233,9,1,0,0,0,absolute
freq_max,1,234,9,1,0,0,0,absolute
freq_min,1,235,9,1,0,0,0,absolute
freq_avg,1,236,9,1,0,0,0,absolute
thd_v_a,1,237,9,1,0,0,0,absolute
thd_v_b,1,238,9,1,0,0,0,absolute
thd_v_c,1,239,9,1,0,0,0,absolute
thd_i_a,1,240,9,1,0,0,0,absolute
thd_i_b,1,241,9,1,0,0,0,absolute
thd_i_c,1,242,9,1,0,0,0,absolute
unbalance_v,1,243,9,1,0,0,0,absolute
unbalance_i,1,244,9,1,0,0,0,absolute
